"ID","Created Date","Updated Date","Owner","capitulo","Chapter_Title","Name_Translation","Location","Context","Assembly_Present","Main_Dialogue","Main_Teaching","Miraculous_Manifestations","Spiritual_Progression","Transition","Unique_Elements"
"04b79153-328c-4d39-a551-ad3d75ff075c",2025-07-21T19:58:57Z,2025-07-21T19:59:41Z,"540c04c9-09fc-436f-957a-b842dc06a474",16,"PRABHŪTĀ","Abundante","Uma casa na cidade de Samudra-pratiṣṭhāna.","Sudhana encontra Prabhūtā, uma jovem donzela de beleza estonteante, sentada em uma casa que, embora pareça simples, pode acomodar um número infinito de seres. Ela não possui nada além de um único e pequeno pote, que se revela um tesouro inesgotável de generosidade. Ela está acompanhada por dez mil donzelas com qualidades de apsarás.","De início, dez mil donzelas que são emanações de sua própria prática. Mais tarde, incontáveis seres de todas as dez direções, atraídos por suas preces passadas, chegam para receber suas oferendas.","Prabhūtā explica a Sudhana que ela, junto com seu séquito, compartilha a mesma conduta, mérito e aspiração. Ela descreve como, a partir de seu pequeno pote, ela pode alimentar e prover para todos os seres do universo. Ela afirma que a comida de seu pote é tão poderosa que permite que śrāvakas, pratyekabuddhas e bodhisattvas em sua última vida atinjam suas respectivas iluminações.","A liberação do bodhisattva chamada ""a exibição incessante do tesouro do mérito"". Este ensinamento demonstra o poder da generosidade ilimitada, mostrando que o mérito de um bodhisattva pode se manifestar como uma fonte inesgotável que satisfaz todas as necessidades físicas e espirituais de todos os seres, sem nunca se esgotar.","A principal manifestação é o pequeno pote. Deste único recipiente, Prabhūtā materializa qualquer tipo de comida, bebida, assento, roupa, joia ou outro item desejado para satisfazer plenamente incontáveis seres que chegam de todas as direções. O pote nunca se esvazia. Além disso, as fragrâncias que emanam de suas assistentes pacificam as mentes de todos na cidade, eliminando a raiva, a cobiça e o ciúme.","Sudhana aprende que o mérito acumulado através da generosidade é verdadeiramente inesgotável e que a simplicidade externa pode conter um poder interno ilimitado. Ele testemunha como a compaixão ativa não apenas alivia o sofrimento material, mas também serve como um catalisador direto para a iluminação dos outros.","Prabhūtā, como os outros, admite que conhece apenas este portal do mérito inesgotável e direciona Sudhana para seu próximo guia, o chefe de família Vidvān, na cidade de Mahāsaṃbhava.","O contraste entre a aparência simples (uma jovem donzela com um pequeno pote) e o poder miraculoso infinito. O pote como um símbolo da generosidade inesgotável de um bodhisattva. A conexão direta entre o ato de dar (alimentar) e a capacidade de levar outros à iluminação final."
"06f3b7a4-3492-4c0e-ad27-34b89e9eaf27",2025-07-21T19:58:57Z,2025-07-21T19:59:41Z,"540c04c9-09fc-436f-957a-b842dc06a474",17,"VIDVĀN","Sábio","Uma encruzilhada no centro da cidade de Mahāsaṃbhava.","Sudhana encontra Vidvān sentado em um magnífico trono de joias em uma movimentada encruzilhada, cercado por um séquito de músicos celestiais e seres que superam a beleza de devas e humanos. Ele personifica a generosidade manifestada através do poder da mente e da aspiração pura.","Milhares de peticionários de todas as origens que vêm buscar a ajuda de Vidvān, além de um séquito de cinco mil músicos e dez mil seres com qualidades sobre-humanas que o servem e participam da prática da generosidade.","Depois que Sudhana expressa sua vasta aspiração para beneficiar todos os seres, Vidvān o elogia e então demonstra seu poder. Ele satisfaz as necessidades de todos os que chegam e, em seguida, ensina-lhes o Dharma de uma forma que se relaciona diretamente com o que receberam. Por exemplo, aos que receberam comida, ele ensina sobre a ""comida da sabedoria""; aos que receberam carruagens, ele ensina sobre o Mahāyāna, o ""Grande Veículo"".","A liberação do bodhisattva chamada ""o mérito que surge do tesouro da mente"". Este ensinamento demonstra o poder de manifestar todos os requisitos materiais diretamente do céu, simplesmente através do poder da mente e da aspiração. Vidvān usa essa habilidade para satisfazer as necessidades de todos os seres e, uma vez que suas necessidades materiais são atendidas, ele os ensina o Dharma, adaptando a mensagem para guiá-los à iluminação.","A principal manifestação é o poder de Vidvān de materializar objetos do céu. Ao simplesmente olhar para o céu, ele faz chover uma variedade infinita de alimentos, bebidas, roupas, joias e qualquer outro objeto que os seres que se aproximam dele desejem. Esses objetos aparecem diretamente em suas mãos, satisfazendo simultaneamente incontáveis pedintes.","Sudhana aprende que a generosidade de um bodhisattva não é limitada por recursos físicos. Através do poder da mente e do mérito, a capacidade de dar é infinita. Ele também aprende um método de ensino hábil: satisfazer primeiro as necessidades mundanas dos seres para abrir seus corações e mentes para o ensinamento espiritual.","Vidvān humildemente afirma que conhece apenas esta liberação e não pode compreender a conduta dos bodhisattvas que são como um oceano de mérito. Ele direciona Sudhana para a cidade de Siṃhapota para encontrar seu próximo guia, o patrono do Dharma Ratnacūḍa.","A manifestação de objetos materiais diretamente do céu como resultado do poder mental e do mérito. O método de ensino que conecta diretamente a satisfação das necessidades materiais com um ensinamento espiritual correspondente. A prática da generosidade em um cenário público e urbano (uma encruzilhada)."
"0c5bf7f5-f638-43ac-ac70-d02e025123f8",2025-07-21T19:58:57Z,2025-07-21T19:59:41Z,"540c04c9-09fc-436f-957a-b842dc06a474",15,"INDRIYEŚVARA","Senhor das Faculdades","A confluência de rios na cidade de Sumukha, na terra de Śramaṇa-maṇḍala.","Guiado por devas, Sudhana encontra seu próximo mestre, que surpreendentemente é uma criança, Indriyeśvara, brincando na areia com dez mil outros meninos. Ele representa a sabedoria que transcende a idade e a forma, demonstrando que a realização pode se manifestar em qualquer ser, e que o conhecimento mundano pode ser um portal para o transcendente.","Dez mil crianças brincando na areia, junto com devas, nāgas, yakṣas e gandharvas que observam dos céus e guiam Sudhana até o menino.","Indriyeśvara explica que foi o próprio Mañjuśrī quem lhe ensinou a escrita e a matemática, permitindo-lhe dominar todas as artes e ofícios. Ele então recita a longa lista de nomes numéricos e usa essa contagem para analisar o monte de areia e, por extensão, a vastidão de todos os reinos, kalpas, Budas e seres nas dez direções.","O portal da sabedoria chamado ""clarividência em todas as artes"". Este ensinamento revela que um bodhisattva pode dominar todas as formas de conhecimento mundano — desde a matemática e engenharia até a medicina e a agricultura — e usá-las como meios hábeis para guiar os seres. O ensinamento culmina em uma lição sobre a matemática dos bodhisattvas, que expande a mente para conceber a infinidade.","A principal manifestação é a demonstração do sistema de contagem dos bodhisattvas. Indriyeśvara lista uma série exponencial de nomes para números inconcebivelmente grandes (ayuta, niyuta, etc., até anabhilāpyānabhilāpya). Em seguida, ele aplica essa matemática para calcular o número exato de grãos de areia em um monte gigantesco, demonstrando a capacidade de sua sabedoria de abranger e medir a vastidão do universo.","Sudhana aprende que a sabedoria não se limita a conceitos puramente espirituais, mas pode abranger todas as áreas do conhecimento. A lição sobre a matemática inconcebível expande radicalmente sua concepção de infinito e sua compreensão da capacidade da mente de um bodhisattva de compreender a totalidade da existência.","Indriyeśvara humildemente admite que só conhece este portal do conhecimento de todos os fenômenos e não pode compreender a conduta de bodhisattvas mais avançados. Ele então direciona Sudhana para a cidade de Samudra-pratiṣṭhāna para encontrar a upāsikā (praticante leiga) Prabhūtā.","O uso de uma criança como kalyāṇamitra. A integração do conhecimento secular (matemática, engenharia, etc.) com a sabedoria espiritual. A longa e impressionante enumeração de números inconcebíveis como um método de ensinamento para expandir a mente."
"0ccc6b2c-02be-4765-86cf-6201c984c9e3",2025-07-21T19:58:57Z,2025-07-21T19:59:41Z,"540c04c9-09fc-436f-957a-b842dc06a474",22,"ACALĀ","Imóvel, Firme","A cidade de Sthirā.","Sudhana encontra Acalā na casa de seus pais. Sua presença é tão pura que a própria casa emana uma luz dourada que concede samādhis a Sudhana ao simples contato. Sua beleza e a fragrância de seu corpo superam as de todos os seres nos reinos do desejo, exceto os budas e bodhisattvas consagrados, e nenhum ser consegue olhá-la com desejo.","Embora esteja em um ambiente doméstico, sua assembleia é composta por seres que são atraídos e purificados por sua simples presença. A cena enfatiza que a realização pode florescer em qualquer contexto, não apenas em mosteiros isolados.","Em resposta à pergunta de Sudhana, Acalā conta a história de sua aspiração original e detalha como, por incontáveis kalpas, ela manteve uma prática imaculada, nunca se esquecendo de um único ensinamento, nunca deixando de praticar uma única conduta de bodhisattva e nunca se desviando para os veículos inferiores. Ela demonstra o poder de sua realização através de uma visão meditativa.","Acalā ensina a liberação chamada ""a essência da sabedoria difícil de alcançar"" (the essence of the wisdom that is difficult to attain) e o samādhi da ""busca incansável pelo Dharma"" (the display of the tireless search for the Dharma). Seu ensinamento central é sobre a força de uma aspiração inicial inabalável. Ela narra como, em uma vida passada há incontáveis kalpas, a visão do Buda Pralambabāhu a inspirou a desenvolver uma motivação tão poderosa que, desde então, ela nunca mais teve um pensamento de desejo, raiva, ou ego, nem mesmo em sonhos ou no estado entre vidas.","A principal manifestação é a sua própria pureza, que transforma o ambiente e os seres ao seu redor. Ao entrar em samādhi, ela revela a Sudhana incontáveis reinos búdicos e a sucessão de budas, demonstrando o poder de sua mente purificada. Sua realização não é ostensiva, mas uma demonstração da perfeição interna que irradia naturalmente.","Sudhana aprende sobre o poder da continuidade e da pureza na prática espiritual. Acalā é a personificação da dedicação inabalável ao longo de eras, mostrando que uma única aspiração, quando mantida com perfeita pureza, leva a uma realização inconcebível. Ele entende que a verdadeira força não está em feitos externos, mas na pureza interna mantida ao longo do tempo.","Acalā humildemente afirma que só conhece esta liberação da sabedoria difícil de alcançar e direciona Sudhana para a terra de Amitatosala para encontrar seu próximo guia, o parivrājaka (asceta errante) Sarvagamin, movendo o foco da sabedoria cultivada na estabilidade para aquela praticada em movimento.","'- Pureza Transcendental em um Contexto Comum: Acalā demonstra o mais alto nível de pureza espiritual vivendo em uma casa de família, desafiando a noção de que a realização requer reclusão."
"0dd8b5f7-81ae-4eff-a1b7-bd9fbbfd74a4",2025-07-21T19:58:57Z,2025-07-21T19:59:41Z,"540c04c9-09fc-436f-957a-b842dc06a474",26,"JAYOTTAMA","Vitória Suprema","Uma floresta de árvores ashoka chamada Vicitra Dhvaja, na periferia da cidade de Nandihāra.","Sudhana encontra Jayottama no meio de uma assembleia cívica, rodeado por milhares de chefes de família. Eles estão discutindo os deveres cívicos, e Jayottama usa essa oportunidade para ensinar o Dharma. Ele representa a figura do líder social esclarecido, que integra a responsabilidade cívica com a prática espiritual.","A assembleia é multifacetada. Fisicamente, ele está com milhares de chefes de família. No entanto, sua verdadeira assembleia é universal, composta por todos os seres nos incontáveis reinos onde ele se manifesta, incluindo devas, nāgas, humanos e até mesmo seres nos reinos infernais, cada um recebendo um ensinamento adaptado à sua condição.","Após Sudhana apresentar-se formalmente e expressar suas vastas aspirações, Jayottama explica sua conduta onipresente. Ele detalha como ensina o Dharma em múltiplos reinos de existência para erradicar o sofrimento e guiar os seres para longe das ações não-virtuosas. Ele ensina sobre a criação e destruição dos mundos, os defeitos do saṃsāra e as qualidades da onisciência.","O portal para a conduta de bodhisattva ""onipresente"" (omnipresent). A realização de Jayottama se baseia em ""milagres não-compostos baseados na ausência de existência"", o que lhe permite estar presente e ensinar simultaneamente em todos os reinos de existência. Seu ensinamento principal é a eliminação de todas as formas de ego, possessividade e apego como o caminho para a paz e a harmonia social.","A principal manifestação é sua onipresença. Enquanto está fisicamente na floresta, ele ensina simultaneamente nos paraísos celestiais, nos mundos dos nāgas, yakṣas, asuras, e em todos os vilarejos e cidades do mundo humano. Ele pacifica conflitos, previne guerras e guia todos os tipos de seres, desde os devas até os pretas, adaptando perfeitamente seus ensinamentos a cada um.","Sudhana aprende que a responsabilidade cívica e a liderança social não são separadas da prática espiritual, mas podem ser uma poderosa expressão dela. Ele testemunha como um bodhisattva pode usar sua sabedoria para criar harmonia e guiar uma sociedade inteira, operando em uma escala universal para o benefício de todos.","Jayottama, com humildade, admite que seu conhecimento se limita a este portal da conduta onipresente. Ele direciona Sudhana para a cidade de Kaliṅgavana, na terra de Śroṇāparānta, para encontrar seu próximo guia: a bhikṣuṇī (monja) Siṃha Vijṛmbhitā, movendo o foco da liderança secular masculina para a vida monástica feminina.","Responsabilidade Cívica como Caminho Espiritual: O capítulo enfatiza a importância do engajamento social e da liderança esclarecida como uma forma de prática de bodhisattva."
"100f1955-86cb-4093-b9ce-0a4c8ff3d025",2025-07-21T19:58:57Z,2025-07-21T19:59:41Z,"540c04c9-09fc-436f-957a-b842dc06a474",9,"SĀGARADHVAJA","Bandeira do Oceano","Milaspharaṇa, na ponta do continente de Jambudvīpa.","Sudhana encontra Sāgaradhvaja sentado em profunda meditação, imóvel e sem respirar. Ele permanece assim por seis meses e seis dias, enquanto Sudhana o observa pacientemente. Durante este período, o corpo do monge se torna o epicentro de uma extraordinária exibição cósmica de atividade iluminada, emanando as Dez Perfeições (Pāramitās) de cada parte de seu corpo.","A assembleia é inteiramente visionária e multifacetada, emanada do próprio corpo de Sāgaradhvaja. Inclui comerciantes praticando generosidade, reis sábios, ṛṣis, nāgas, asuras, śrāvakas, e até mesmo emanações de sóis, luas e dos próprios Budas.","O diálogo ocorre somente após Sāgaradhvaja emergir de sua meditação de seis meses. Sudhana, maravilhado, pergunta o nome do samādhi. Sāgaradhvaja explica que é a ""perfeição da sabedoria chamada a visão completa da realização da equanimidade"" e, como os outros, admite conhecer apenas este portal.","A Liberação da ""Visão Completa da Realização da Equanimidade"". O ensinamento não é verbal, mas uma demonstração direta através de seu samādhi. Ele manifesta, de cada parte de seu corpo, emanações que correspondem à prática e ao resultado das Dez Perfeições, mostrando como a realização de um bodhisattva beneficia ativamente todos os seres.","Este capítulo contém uma das mais elaboradas descrições de manifestações do sutra. Emanando de partes específicas do corpo de Sāgaradhvaja, Sudhana testemunha as Dez Perfeições em ação: Generosidade (Dāna) dos pés, Disciplina (Śīla) dos joelhos, Paciência (Kṣānti) do umbigo, Diligência (Vīrya) dos lados, Meditação (Dhyāna) do peito, e assim por diante, culminando com emanações de corpos de Tathāgata de sua cabeça, chovendo o Dharma sobre todos.","Sudhana aprende através da observação direta como a realização de um único ser se manifesta como uma atividade compassiva universal e multifacetada. A longa duração de sua observação simboliza a paciência e a devoção necessárias para compreender a profundidade da conduta de um bodhisattva.","Sāgaradhvaja, ao emergir, confirma o nome de sua prática, mas humildemente admite que só conhece este portal. Ele direciona Sudhana para seu próximo guia, a upāsikā (praticante leiga) Āśā, na cidade de Mahāprabhāsa, em uma terra chamada Samudravetāḍī.","'- Emanações Corporais Específicas: A correlação detalhada entre partes do corpo e as Dez Perfeições é única, transformando o corpo do meditador em um mandala cósmico."
"1357068c-64c2-4906-85d7-22ae12c41ffd",2025-07-21T19:58:57Z,2025-07-21T19:59:41Z,"540c04c9-09fc-436f-957a-b842dc06a474",5,"SĀGARAMEGHA","Nuvem do Oceano","Na costa do oceano, em um distrito chamado Sāgaramukha.","Após contemplar por doze anos a vastidão do oceano, questionando se existia algo maior, Sāgaramegha tem uma visão transformadora que se torna a base de seu ensinamento. Sudhana o encontra e faz uma série de perguntas poéticas sobre como um bodhisattva avança no caminho.","A assembleia é visionária, composta por seres mitológicos (nāgas, asuras, etc.) que reverenciam o lótus cósmico. Após sua realização, Sāgaramegha também ensina a seres das dez direções que o procuram.","Sudhana expressa sua aspiração e faz perguntas poéticas sobre a jornada do bodhisattva. Sāgaramegha primeiro elogia a motivação de Sudhana, descreve os pré-requisitos para a aspiração à iluminação e depois narra a longa contemplação do oceano que culminou em sua visão e recebimento do Dharma.","A Liberação através da Contemplação da Vastidão e do Recebimento do Dharma. Sāgaramegha ensina o portal do Dharma chamado ""Olhos que Tudo Veem"" (All-Seeing Eyes), que lhe foi transmitido diretamente por um Tathāgata que surgiu de uma visão. Este ensinamento é tão vasto que todo o oceano como tinta não seria suficiente para escrevê-lo.","A principal manifestação é a visão de um gigantesco lótus de joias surgindo do oceano, sustentado por asuras e reverenciado por uma vasta assembleia de seres (nāgas, garuḍas, devas, etc.). No centro do lótus, Sāgaramegha vê um corpo de Tathāgata, cuja forma se estende até o cume da existência, que então lhe transmite o ensinamento.","Sudhana aprende que a profunda contemplação da natureza pode levar a visões transformadoras e ao recebimento direto de ensinamentos. Ele compreende que mesmo um ensinamento tão profundo é apenas um portal entre muitos, reforçando a vastidão do caminho do bodhisattva.","Sāgaramegha, assim como seu predecessor, reconhece a limitação de seu conhecimento. Ele afirma que só conhece este portal do Dharma e direciona Sudhana para seu próximo kalyāṇamitra, o bhikṣu Supratiṣṭhita, que reside em Sāgaratīra, no caminho para Laṅka.","'- Contemplação da Natureza: O uso da contemplação do oceano como método para abrir a mente à vastidão do Dharma."
"167a78ba-5bc9-4f31-8cb1-1fcffce73270",2025-07-21T19:58:57Z,2025-07-21T19:59:41Z,"540c04c9-09fc-436f-957a-b842dc06a474",55,"MAÑJUŚRĪ","Senhor da Sabedoria","Sudhana está na cidade de Sumanāmukha, enquanto Mañjuśrī está a uma distância de 110 yojanas.","Depois de deixar Maitreya, Sudhana está na cidade de Sumanāmukha, pensando e procurando por Mañjuśrī, aspirando vê-lo. Mañjuśrī, de uma grande distância, estende a mão e a coloca sobre a cabeça de Sudhana.","O encontro é uma interação à distância entre Mañjuśrī e Sudhana.","O diálogo é um monólogo de Mañjuśrī. Ele louva a perseverança de Sudhana e, por contraste, descreve as falhas que impedem outros de alcançar tal realização. Ele então o inspira com uma bênção final.","O ensinamento é um encorajamento final. Mañjuśrī elogia Sudhana, dizendo ""Bem feito, bem feito!"", e explica que aqueles com fé fraca, mentes cansadas, pouca diligência, ou que não são cuidados por kalyāṇamitras, não seriam capazes de conhecer a verdadeira natureza dos fenômenos ou entrar no tipo de caminho e campo de atividade que Sudhana experienciou.","A principal manifestação é o ato miraculoso de Mañjuśrī estender seu braço por uma distância de 110 yojanas para tocar a cabeça de Sudhana. Após o encorajamento, ele inspira Sudhana e o faz possuidor de incontáveis portais do Dharma, abençoando-o com retenção, eloquência, samādhi, cognições superiores e sabedoria infinita.","Este encontro funciona como a confirmação final da jornada de Sudhana. Depois de receber o ensinamento culminante de Maitreya, a bênção de seu guia original, Mañjuśrī, sela sua realização. Ele é estabelecido no campo da ""conduta completamente boa"" (a conduta de Samantabhadra), significando que ele agora está pronto para a prática final.","Não há um direcionamento explícito com a fórmula ""vá até..."" Mañjuśrī simplesmente inspira Sudhana, o estabelece na conduta de Samantabhadra, e então se retira, permanecendo em sua própria região. A transição é implícita: tendo sido estabelecido na conduta de Samantabhadra, o próximo e último passo lógico para Sudhana é encontrar o próprio Samantabhadra.","'- O Toque à Distância: Um milagre único que demonstra o poder e a presença onipresente de um grande bodhisattva."
"1b1120f3-860d-4b82-8a2b-cdd3f498b220",2025-07-21T19:58:57Z,2025-07-21T19:59:41Z,"540c04c9-09fc-436f-957a-b842dc06a474",6,"SUPRATIṢṬHITA","Firmemente Estabelecido","Sāgaratīra, na região de Laṅka.","Sudhana encontra Supratiṣṭhita não em terra, mas caminhando no céu, como o centro de uma vasta procissão cósmica, sendo reverenciado com oferendas por uma imensa assembleia de seres celestiais e mitológicos que o acompanham.","Uma vasta assembleia cósmica que o acompanha no céu, incluindo: devas, nāgas, kinnaras, mahoragas, asuras, garuḍas, yakṣas, rākṣasas, senhores Brahmakāyika e devas Śuddhāvāsa, cada um prestando um tipo único de homenagem.","Sudhana, maravilhado com a visão, se prostra e pede ensinamentos. Supratiṣṭhita explica detalhadamente sua liberação, o ""portal sem impedimentos"", e como, a partir da realização da ""presença sem substância"", ele manifesta seus poderes miraculosos para servir a todos os Budas e guiar os seres.","A Liberação do ""Portal Sem Impedimentos"" (unimpeded gateway). A realização de Supratiṣṭhita é a ""luz da sabedoria chamada o ápice sem impedimentos"", que se baseia na ""presença sem substância"" e lhe confere poderes miraculosos não-compostos. Isso resulta na ausência total de obstáculos para conhecer as mentes de todos os seres, o passado e o futuro, e para viajar e fazer oferendas a todos os Budas no universo em um único instante.","O capítulo é uma demonstração espetacular de poder: - Caminhada no Céu: Supratiṣṭhita caminha serenamente no céu. - Poderes de Transformação: Ele pode se tornar invisível, emanar fogo, multiplicar seu corpo, atravessar objetos sólidos e dominar os elementos. - Onipresença: Em um único instante mental, ele viaja para incontáveis reinos búdicos nas dez direções para fazer oferendas a todos os Budas simultaneamente.","Sudhana aprende que a realização espiritual transcende completamente as leis físicas. Ele testemunha um nível de poder e liberdade que demonstra que para um bodhisattva realizado não há separação entre os reinos, e não há limites para a capacidade de perceber a realidade e servir aos Budas.","Supratiṣṭhita humildemente admite que conhece apenas este portal de liberação e não pode compreender a conduta dos bodhisattvas com realizações ainda mais vastas. Ele então direciona Sudhana para seu próximo kalyāṇamitra: o dravidiano Megha, na cidade de Vajrapura, na terra de Draviḍa.","'- Poderes Miraculosos Extremos: O capítulo oferece uma das descrições mais vívidas e extensas de poderes psíquicos (siddhis) no sutra."
"23a616b4-3259-48e7-8303-c1ec8f88015f",2025-07-21T19:58:57Z,2025-07-21T19:59:41Z,"540c04c9-09fc-436f-957a-b842dc06a474",49,"MUKTĀSĀRA","Essência da Liberação","A cidade de Bharukaccha, na região sul.","Sudhana viaja para a cidade de Bharukaccha, encontra o ourives Muktāsāra, presta as homenagens e faz sua pergunta sobre como um bodhisattva deve treinar.",,"O diálogo é extremamente breve. Sudhana pergunta, e Muktāsāra responde nomeando sua liberação e sua prática de buscar o Dharma, antes de humildemente se declarar incapaz de falar sobre a conduta de grandes bodhisattvas.","Muktāsāra afirma conhecer a liberação do bodhisattva chamada ""a exibição da memória pura e desimpedida"" (the display of pure unimpeded memory). Ele acrescenta que busca continuamente o Dharma aos pés dos tathāgatas nas dez direções.","Nenhuma manifestação externa é descrita no texto. A liberação é nomeada, mas seus efeitos não são elaborados.","Sudhana aprende que a realização espiritual pode ser encontrada em pessoas de ofícios comuns, como um ourives. Ele também reencontra o nome de uma liberação que já ouviu antes (de Surendrābhā no cap. 45), sugerindo que as mesmas realizações podem ser encontradas e expressas por diferentes mestres.","Muktāsāra, afirmando conhecer apenas esta liberação, direciona Sudhana para a floresta ao lado da cidade, para encontrar um chefe de família (householder) chamado Sucandra, que possui uma ""casa que brilha continuamente"".","'- O Mestre Artesão: Reforça o tema de que a sabedoria pode ser encontrada em qualquer profissão, não apenas em contextos monásticos ou divinos."
