"ID","Created Date","Updated Date","Owner","capitulo","Nome","Ensinamento","Desc. Personagem","Ocupação","Significado","Local","Resumo do Cap. (84000.co)","Cap. FILE NAME","Cap. URL","QR Code URL","LINK MODEL"
"06d5477d-fbf0-4363-892e-8b4bc860ecf5","2025-07-21T20:00:45Z","2025-07-21T20:01:28Z","540c04c9-09fc-436f-957a-b842dc06a474","37","Samanta­sattva­trāṇojaḥ­śrī","The liberation of the bodhisattva called ""the manifestation of great compassion that protects all beings and establishes them in practice."" This teaching focuses on compassion as the root of the entire bodhisattva practice. The goddess demonstrates that true compassion is not a passive feeling, but the driving force that leads a bodhisattva to enter all realms and interact with all kinds of beings to alleviate their suffering and guide them to enlightenment.","Continuing his journey through the assembly of Night Goddesses, Sudhana finds Samanta­sattva­trāṇojaḥ­śrī, whose name means ""Glory of the Power that Protects All Beings.""","Night goddess","Glory of the universal protection of beings","In the bodhimaṇḍa.","When Sudhana walks a distance to see the night goddess Samanta­sattva­trāṇojaḥ­śrī, she radiates a ray of light that makes him enter a samādhi and see worlds in the atoms of the soil, and see her appearing in all of them to guide and help beings through the power of her bodhisattvic liberation called the manifestations that guide the beings that appear in all worlds. Sudhana recites verses to her, describing this vision, and asks her when she attained this liberation.","37 SAMANTASATTVATRĀṆOJAḤŚRĪ Stem Array.pdf","https://drive.google.com/file/d/1HW4ukW5J3BIC5zupSFqxaN8MCSJEq9SI/view?usp=drive_link","https://technosutra21.github.io/technosutra/?model=37","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo37.glb"
"0872f971-abd4-4a3a-90be-39b5c319656a","2025-07-21T20:00:45Z","2025-07-21T20:01:28Z","540c04c9-09fc-436f-957a-b842dc06a474","8","Muktaka","The liberation of ""Unimpeded Display."" The central lesson, revealed through a miraculous vision and direct instruction, is that the entire spiritual journey, including the visions of buddhas and buddha realms, is a manifestation and blessing of the practitioner's own mind. He teaches that the buddhas do not come from elsewhere, nor does the practitioner go elsewhere; perception is like a dream or a reflection. The key is to cultivate one's mind.","Countless buddhas, their deeds, their realms, and their disciples become visible within his body.","Meditation community","Liberators","The city of Vanavāsī.","After twelve years, Sudhana arrives at Vanavāsī and finds Muktaka. Muktaka enters a state of meditation through the retention power called the Assembly of all Buddha Realms, and countless buddhas, their deeds, their realms, and their disciples become visible within his body. He leaves his meditation and states that through the liberation called the unimpeded display, he can see any buddha in any realm or time he wishes.","08 MUKTAKA Stem Array.pdf","https://drive.google.com/file/d/1_-jrp0CqvsJ5fuHpQkh2Zd7tfrPq_CYy/view?usp=drive_link","https://technosutra21.github.io/technosutra/?model=8","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo8.glb"
"099a45e2-1232-49a4-ba12-214354495cf5","2025-07-21T20:00:45Z","2025-07-21T20:01:28Z","540c04c9-09fc-436f-957a-b842dc06a474","19","Samantanetra","The Dharma portal called ""the forms of perfume that satisfy all beings."" Samantanetra masters the knowledge of all perfumes and their healing properties. He teaches that true compassion begins with the healing of physical suffering. After healing the sick, he offers them Dharma teachings perfectly adapted to purify their mental afflictions (desire, anger, ignorance). His knowledge also extends to sacred perfumes that, when used as offerings, can reach and honor all buddhas in the universe.","Sudhana finds Samantanetra in her store, where he not only sells perfumes but applies a deep knowledge of fragrances and medicine to cure all kinds of diseases (physical, mental and spiritual).","Perfumer","Universal eyes","A perfume store in the city of Samantamukha, in the land of Vetamūlaka.","Sudhana finds Samantanetra in a perfume store in the middle of the city. Samantanetra describes how it can cure all diseases, heal beings and put them on the path to enlightenment. He is also able to make perfume offerings to all buddha realms. However, his knowledge is limited to this portal called the forms of perfume that satisfy all beings and through which, in all ways, offerings are made and the buddhas are honored.","19 SAMANTANETRA Stem Array.pdf","https://drive.google.com/file/d/1wBrJ7brrwUuAOH4vJxK2eOVA271JM0YY/view?usp=drive_link","https://technosutra21.github.io/technosutra/?model=19","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo19.glb"
"183b3cd1-eaf1-4aa5-bef1-b3b91ef40a87","2025-07-21T20:00:45Z","2025-07-21T20:01:28Z","540c04c9-09fc-436f-957a-b842dc06a474","2","Samantabhadra","After the Buddha enters the samādhi ""The Lion's Roar,"" Bodhisattva Samantabhadra takes the lead to explain the depth of this state to the assembly.","","Bodhisattva","Completely good","JETAVANA, IN ANEMHAPI PARK IN śrāvastī.","Bodhisattva Samantabhadra recites verses for the bodhisattvas describing the inconceivable interpenetration of phenomena through the buddhas. Additionally, the Buddha, still in samādhi, emanates a ray of light from between his eyebrows so that the bodhisattvas can see these countless buddha realms, and in a state of great joy, the bodhisattvas emanate numerous manifestations.","02 SAMANTABHADRA Stem Array.pdf","https://drive.google.com/file/d/1QYST-3K_N-uUSpWA5sa-G5ovCHA-gfU2/view?usp=drive_link","https://technosutra21.github.io/technosutra/?model=2","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo2.glb"
"1af034bc-1daf-43fb-b14c-3286b75a02d4","2025-07-21T20:00:45Z","2025-07-21T20:01:28Z","540c04c9-09fc-436f-957a-b842dc06a474","6","Suprati","The liberation of the ""Unimpeded Gateway"" portal. The realization of Supratiṣṭhita is the ""light of wisdom called the apex without impediments,"" which is based on ""presence without substance"" and gives him non-compounded miraculous powers. This results in the total absence of obstacles to knowing the minds of all beings, the past and the future, and to travel and make offerings to all buddhas in the universe in a single moment.","Sudhana seeks Supratiṣṭhita not on land, but walking in heaven, like the center of a vast cosmic procession, being revered with offerings by a huge assembly of heavenly and mythological beings who accompany him.","Monk","Firmly established","Sāgaratīra, in the region of Laṅka.","Sudhana seeks Supratiṣṭhita and, finally, sees him walking in the sky accompanied by a vast assembly of various types of deities, which pay him a tribute. Supratiṣṭhita states that he has reached wisdom called the unimpeded apex, so that he knows past lives, all past buddhas, all languages, when guiding beings, and so on, and can perform all kinds of miracles.","06 SUPRATIṢṬHITA Stem Array.pdf","https://drive.google.com/file/d/1VwEshXbZ0N1UwJJTx_U1XZC14U1NapKi/view?usp=drive_link","https://technosutra21.github.io/technosutra/?model=6","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo6.glb"
"1cc440e1-8887-4855-9539-7973af2c863b","2025-07-21T20:00:45Z","2025-07-21T20:01:28Z","540c04c9-09fc-436f-957a-b842dc06a474","25","Bum","The bodhisattva conduct called the ""standard of great compassion"" and the liberation of ""remembering to remain with hearing and fruitful vision."" Vaira teaches that, just as he guides traders safely to islands of material treasures, he also guides all beings through the dangerous ocean of saṃsāra to the ""jewel island"" of omniscience. His knowledge covers both the physical dangers of the sea (whirlpools, monsters) and the spiritual dangers (attachment, ignorance).","Sailor","Sailor","Diamond","The coastal city of Kūṭāgāra.","Sudhana goes to the city of Kūṭāgāra and finds the cloak of the city gate on the ocean coast, where he is telling the sea stories to a hundred thousand traders and many hundreds of thousands of others, describing the qualities of the Buddha. He tells Sudhana that he practices the bodhisattva conduct called the Flag of Great Compassion, helps beings in many ways, knows the location of islands and treasures and ways of navigating the ocean, and leads beings to enlightenment through his teachings.","25 VAIRA Stem Array.pdf","https://drive.google.com/file/d/1DMLHMUO6qOq1EiIoMS4WtuIryK4bGODq/view?usp=drive_link","https://technosutra21.github.io/technosutra/?model=25","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo25.glb"
"1e7a9869-5146-4f72-ba33-be0aa8655713","2025-07-21T20:00:45Z","2025-07-21T20:01:28Z","540c04c9-09fc-436f-957a-b842dc06a474","15","INDRIYEśVARA","The portal of wisdom called ""clairvoyance in all arts."" This teaching reveals that a bodhisattva can master all forms of worldly knowledge—from mathematics and engineering to medicine and agriculture—and use them as skillful means for guiding beings. The teaching culminates in a lesson on bodhisattva mathematics that expands the mind to conceive of infinity.","Colleges Master","Boy","Lord of Colleges","The confluence of rivers in the city of Sumukha, in the land of śramaṇa-maala.","Sudhana finds Indriyeśvara playing in the sand with another ten thousand children. Indriyeśvara tells Sudhana that he was a student of Mañjuśrī and has mastered all kinds of branches of knowledge. In particular, he reports at length on the enumeration system that the bodhisattvas use. However, his knowledge is limited to this portal called the wisdom that has clairvoyance in all crafts.","15 INDRIYEŚVARA Stem Array.pdf","https://drive.google.com/file/d/17_oNk0Fqy0SS8ZYX9S5nogGaTzrrQxmx/view?usp=drive_link","https://technosutra21.github.io/technosutra/?model=15","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo15.glb"
"21905620-ec47-479b-ae9b-13e8516d1862","2025-07-21T20:00:45Z","2025-07-21T20:01:28Z","540c04c9-09fc-436f-957a-b842dc06a474","7","Megha","The liberation through the ""Sarasvatī retention power."" This achievement gives Megha the complete knowledge of all languages (divine, human, animal, etc.) in countless realms. He can understand the speech of all buddhas of the three times and teach the Dharma perfectly adapted to each being.","Sudhana finds Megha in a courtyard, sitting on a lion throne, teaching the ""display of the swivel wheel of syllables"" to a ten thousand beings assembly.","Grammarian","Cloud","The city of Vajrapura, in the land of Draviḍa.","Sudhana finds Megha teaching on a throne in a courtyard of the city of Vajrapura. Megha descends from his throne and makes many offerings to Sudhana. He praises the bodhisattvas through various analogies, and rays of light shine from his mouth, spreading throughout the universe. Many deities of various types come to hear. Then Megha sits back on his throne and states that he has attained Sarasvatī's retention power, so he knows the tongues of all different types of deities and other beings in all worlds.","07 MEGHA Stem Array.pdf","https://drive.google.com/file/d/1dIzDu58w9WJAeZO2OVB1R30Pf9lVzgup/view?usp=drive_link","https://technosutra21.github.io/technosutra/?model=7","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo7.glb"
"22b4a475-1792-4833-9998-a90d6c95a228","2025-07-21T20:00:45Z","2025-07-21T20:01:28Z","540c04c9-09fc-436f-957a-b842dc06a474","35","Samantagambhīraśrīvimalaprabhā","The liberation of the bodhisattva called ""complete subjugation through the blessing of the peace of śamatha."" The goddess teaches Sudhana ten essential qualities for the practice of the bodhisattva, including the direct perception of the tathāgatas, the vision of their bodies, the understanding of their oceans of qualities, lights, emanations, and teachings. Her own liberation allows her to realize that buddhas are, in their true nature, non-born, incessant, and like an illusion—transcending the concepts of existence and non-existence.","Sudhana finds another goddess of the night that personifies the depth of meditation (śamatha) and the clear view of the nature of the Buddhas.","Night goddess","Immaculate Universal Deep Glory","In Bodhimaṇḍa, in the land of Magadha, near Vāsantī.","Sudhana returns to Bodhimaṇḍa and sees the goddess of the night Samantagambhīraśrīvimalaprabhā. She instructed him about the ten qualities that bodhisattvas need to achieve. She states that she has attained the bodhisattvic liberation called complete subjugation through the blessed peace of śamatha, through which she can see all buddhas of the three times, receive all their teachings, and mature beings in many ways.","35 SAMANTAGAMBHĪRAŚRĪVIMALAPRABHĀ Stem Array.pdf","https://drive.google.com/file/d/1-nzNFOAyOVpC2hIcFuHy-Hd320paSYyK/view?usp=drive_link","https://technosutra21.github.io/technosutra/?model=35","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo35.glb"
"2699a8ed-a9e5-4ca5-9307-720201daa77f","2025-07-21T20:00:45Z","2025-07-21T20:01:28Z","540c04c9-09fc-436f-957a-b842dc06a474","52","ŚIvarāgra","ŚIvarāgra teaches about ""conduct empowered by truth."" He explains that he has the ""speech of truth,"" a power that makes bodhisattvas irreversible on the path to enlightenment. Through the strength of this speech, any wish he formulates for a need to be met is fulfilled.","Sudhana arrives at the village of Dharma, finds Bramane śivarāgra, pays the honors and asks her question about the conduct of Bodhisattva.","Brahon","Auspicious peak","The village called Dharma, in the southern region.","Sudhana finds the Bramane śIvarāgra, who has reached the power of the speech of the truth that performs desires.","52 ŚIVARĀGRA Stem Array.pdf","https://drive.google.com/file/d/1W7iNLBkDpCzvDz-b1dVYmLvGwv_VgyBU/view?usp=drive_link,","https://technosutra21.github.io/technosutra/?model=52","https://cdn.statically.io/gh/technosutra21/technosutra/master/modelo52.glb"
